id,Problem_Category,Reporter_Type,Location,class_No,Impact_Scope,Occurrence_Pattern,priority_level,priority_text
1,Academic,Faculty,Center Square,,Single person affected,Weekly,0,Low
2,IT/Technical,Admin,Lab,483.0,Everyone affected,First occurrence,2,High
3,Infrastructure,Visitor,Center Square,,Single person affected,Recurring issue,1,Medium
4,Maintenance,Faculty,Center Square,,Single person affected,Recurring issue,1,Medium
5,Safety/Security,Visitor,Class,345.0,Whole class affected,Recurring issue,3,Critical
6,Administrative,Visitor,Institute,,Everyone affected,Weekly,2,High
7,Administrative,Faculty,Hall,,Whole class affected,Weekly,1,Medium
8,Administrative,Student,Institute,,Whole class affected,Daily,2,High
9,Infrastructure,Faculty,Class,494.0,Everyone affected,Daily,3,Critical
10,Safety/Security,Faculty,Lab,332.0,Single person affected,First occurrence,1,Medium
11,IT/Technical,Student,Class,218.0,Single person affected,Weekly,1,Medium
12,Academic,Faculty,Class,321.0,Whole class affected,Recurring issue,1,Medium
13,Infrastructure,Visitor,Hall,,Single person affected,Weekly,1,Medium
14,Infrastructure,Faculty,Lab,440.0,Single person affected,First occurrence,0,Low
15,Maintenance,Faculty,Hall,,Everyone affected,Daily,3,Critical
16,Maintenance,Visitor,Hall,,Everyone affected,Daily,3,Critical
17,Administrative,Visitor,Lab,208.0,Everyone affected,First occurrence,1,Medium
18,Infrastructure,Faculty,Hall,,Whole class affected,Recurring issue,2,High
19,Infrastructure,Visitor,Class,268.0,Everyone affected,Weekly,3,Critical
20,IT/Technical,Admin,Class,113.0,Everyone affected,Weekly,3,Critical
21,Infrastructure,Faculty,Hall,,Single person affected,Daily,2,High
22,Administrative,Visitor,Lab,161.0,Whole class affected,First occurrence,0,Low
23,Administrative,Student,Lab,147.0,Single person affected,Recurring issue,0,Low
24,Academic,Visitor,Class,131.0,Everyone affected,Daily,2,High
25,Administrative,Admin,Hall,,Everyone affected,First occurrence,1,Medium
26,Safety/Security,Faculty,Hall,,Everyone affected,Weekly,3,Critical
27,Administrative,Faculty,Class,114.0,Single person affected,Weekly,0,Low
28,IT/Technical,Student,Institute,,Everyone affected,Daily,3,Critical
29,Academic,Faculty,Class,402.0,Everyone affected,Recurring issue,2,High
30,Academic,Visitor,Hall,,Whole class affected,Recurring issue,1,Medium
31,Administrative,Visitor,Class,334.0,Single person affected,First occurrence,0,Low
32,Academic,Faculty,Lab,244.0,Whole class affected,First occurrence,0,Low
33,IT/Technical,Visitor,Center Square,,Everyone affected,First occurrence,2,High
34,IT/Technical,Admin,Institute,,Whole class affected,Daily,3,Critical
35,Safety/Security,Student,Class,121.0,Everyone affected,Recurring issue,3,Critical
36,Maintenance,Admin,Lab,399.0,Everyone affected,First occurrence,2,High
37,Safety/Security,Admin,Center Square,,Whole class affected,Daily,3,Critical
38,Administrative,Faculty,Hall,,Everyone affected,First occurrence,1,Medium
39,Safety/Security,Faculty,Class,360.0,Single person affected,Weekly,2,High
